
Host: WX400847

Timers On : Thu Apr 30 10:42:18 2026
Timers Off: Thu Apr 30 10:42:25 2026

Wall Time:        6.97 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: WX400847

Timers On : Thu Apr 30 10:42:54 2026
Timers Off: Thu Apr 30 10:46:25 2026

Wall Time:      211.86 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| | Functional                      :      0.000u      0.000s     59.125w 318692 calls
| | V_xc                            :      0.000u      0.000s      6.804w 318692 calls
| JK: D                             :      0.000u      0.000s      0.003w    571 calls
| JK: USO2AO                        :      0.000u      0.000s      0.008w    571 calls
| JK: JK                            :      0.000u      0.000s      0.091w    571 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.088w    571 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    571 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.042w    571 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.040w    571 calls
| JK: AO2USO                        :      0.000u      0.000s      0.002w    571 calls
HF: Form F                          :      0.000u      0.000s      0.006w    570 calls
HF: Form D                          :      0.000u      0.000s      0.005w    570 calls
HF: DIIS                            :      0.000u      0.000s      3.639w    500 calls
HF: Form C                          :      0.000u      0.000s      0.380w    500 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.029w     69 calls
Grad: S                             :      0.000u      0.000s      0.007w     69 calls
Grad: JK                            :      0.000u      0.000s      3.760w     69 calls
| JKGrad: Amn                       :      0.000u      0.000s      0.828w     69 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.228w     69 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     69 calls
| JKGrad: AB                        :      0.000u      0.000s      0.495w     69 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.004w     69 calls
| JKGrad: UV                        :      0.000u      0.000s      0.018w     69 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.149w     69 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.003w     69 calls
| JKGrad: Amnx                      :      0.000u      0.000s      1.031w     69 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.279w     69 calls
Grad: XC                            :      0.000u      0.000s     14.635w     69 calls
| Properties                        :      0.000u      0.000s      5.218w  38511 calls
| Functional                        :      0.000u      0.000s      7.012w  38511 calls
| V_xc gradient                     :      0.000u      0.000s      2.211w  38511 calls

**************************************************************************************

Host: WX400847

Timers On : Thu Apr 30 11:03:41 2026
Timers Off: Thu Apr 30 11:05:36 2026

Wall Time:      115.39 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      1.723w     58 calls
build grid                          :      0.000u      0.000s      1.051w     58 calls
post-process grid                   :      0.000u      0.000s      0.663w     58 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.369w     58 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.895w    406 calls
DFH: initialize()                   :      0.000u      0.000s      1.079w     58 calls
DFH: AO Construction                :      0.000u      0.000s      0.138w     58 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.018w     58 calls
HF: Form core H                     :      0.000u      0.000s      0.468w     58 calls
HF: Form S/X                        :      0.000u      0.000s      0.021w     58 calls
HF: Guess                           :      0.000u      0.000s      2.910w     58 calls
SAD Guess                           :      0.000u      0.000s      2.782w     58 calls
HF: Form G                          :      0.000u      0.000s     60.405w    475 calls
RV: Form V                          :      0.000u      0.000s     60.263w    475 calls
Properties                          :      0.000u      0.000s      9.891w 297549 calls
Functional                          :      0.000u      0.000s     54.528w 297549 calls
V_xc                                :      0.000u      0.000s      5.403w 265172 calls
JK: D                               :      0.000u      0.000s      0.003w    475 calls
JK: USO2AO                          :      0.000u      0.000s      0.008w    475 calls
JK: JK                              :      0.000u      0.000s      0.074w    475 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.073w    475 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    475 calls
DFH: compute_J                      :      0.000u      0.000s      0.031w    475 calls
DFH: compute_K                      :      0.000u      0.000s      0.035w    475 calls
JK: AO2USO                          :      0.000u      0.000s      0.002w    475 calls
HF: Form F                          :      0.000u      0.000s      0.004w    475 calls
HF: Form D                          :      0.000u      0.000s      0.003w    475 calls
HF: DIIS                            :      0.000u      0.000s      3.149w    417 calls
HF: Form C                          :      0.000u      0.000s      0.249w    417 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.023w     58 calls
Grad: S                             :      0.000u      0.000s      0.006w     58 calls
Grad: JK                            :      0.000u      0.000s      3.243w     58 calls
JKGrad: Amn                         :      0.000u      0.000s      0.744w     58 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     58 calls
JKGrad: AB                          :      0.000u      0.000s      0.396w     58 calls
JKGrad: UV                          :      0.000u      0.000s      0.017w     58 calls
JKGrad: ABx                         :      0.000u      0.000s      0.125w     58 calls
JKGrad: Amnx                        :      0.000u      0.000s      0.793w     58 calls
Grad: XC                            :      0.000u      0.000s     12.034w     58 calls
V_xc gradient                       :      0.000u      0.000s      1.839w  32377 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      1.723w     58 calls
| build grid                        :      0.000u      0.000s      1.051w     58 calls
| post-process grid                 :      0.000u      0.000s      0.663w     58 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.369w     58 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.278w     58 calls
DFH: initialize()                   :      0.000u      0.000s      1.079w     58 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.194w    116 calls
| DFH: AO Construction              :      0.000u      0.000s      0.138w     58 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.018w     58 calls
HF: Form core H                     :      0.000u      0.000s      0.468w     58 calls
HF: Form S/X                        :      0.000u      0.000s      0.021w     58 calls
HF: Guess                           :      0.000u      0.000s      2.910w     58 calls
| SAD Guess                         :      0.000u      0.000s      2.782w     58 calls
HF: Form G                          :      0.000u      0.000s     60.405w    475 calls
| RV: Form V                        :      0.000u      0.000s     60.263w    475 calls
| | Properties                      :      0.000u      0.000s      5.603w 265172 calls
| | Functional                      :      0.000u      0.000s     48.773w 265172 calls
| | V_xc                            :      0.000u      0.000s      5.403w 265172 calls
| JK: D                             :      0.000u      0.000s      0.003w    475 calls
| JK: USO2AO                        :      0.000u      0.000s      0.008w    475 calls
| JK: JK                            :      0.000u      0.000s      0.074w    475 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.073w    475 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    475 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.031w    475 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.035w    475 calls
| JK: AO2USO                        :      0.000u      0.000s      0.002w    475 calls
HF: Form F                          :      0.000u      0.000s      0.004w    475 calls
HF: Form D                          :      0.000u      0.000s      0.003w    475 calls
HF: DIIS                            :      0.000u      0.000s      3.149w    417 calls
HF: Form C                          :      0.000u      0.000s      0.249w    417 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.023w     58 calls
Grad: S                             :      0.000u      0.000s      0.006w     58 calls
Grad: JK                            :      0.000u      0.000s      3.243w     58 calls
| JKGrad: Amn                       :      0.000u      0.000s      0.744w     58 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.193w     58 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     58 calls
| JKGrad: AB                        :      0.000u      0.000s      0.396w     58 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.002w     58 calls
| JKGrad: UV                        :      0.000u      0.000s      0.017w     58 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.125w     58 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.002w     58 calls
| JKGrad: Amnx                      :      0.000u      0.000s      0.793w     58 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.227w     58 calls
Grad: XC                            :      0.000u      0.000s     12.034w     58 calls
| Properties                        :      0.000u      0.000s      4.287w  32377 calls
| Functional                        :      0.000u      0.000s      5.756w  32377 calls
| V_xc gradient                     :      0.000u      0.000s      1.839w  32377 calls

**************************************************************************************

Host: WX400847

Timers On : Thu Apr 30 11:06:42 2026
Timers Off: Thu Apr 30 11:08:39 2026

Wall Time:      116.81 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      1.770w     59 calls
build grid                          :      0.000u      0.000s      1.077w     59 calls
post-process grid                   :      0.000u      0.000s      0.683w     59 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.361w     59 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.896w    413 calls
DFH: initialize()                   :      0.000u      0.000s      1.118w     59 calls
DFH: AO Construction                :      0.000u      0.000s      0.143w     59 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.020w     59 calls
HF: Form core H                     :      0.000u      0.000s      0.472w     59 calls
HF: Form S/X                        :      0.000u      0.000s      0.017w     59 calls
HF: Guess                           :      0.000u      0.000s      2.649w     59 calls
SAD Guess                           :      0.000u      0.000s      2.515w     59 calls
HF: Form G                          :      0.000u      0.000s     61.011w    483 calls
RV: Form V                          :      0.000u      0.000s     60.794w    483 calls
Properties                          :      0.000u      0.000s      9.924w 302571 calls
Functional                          :      0.000u      0.000s     54.866w 302571 calls
V_xc                                :      0.000u      0.000s      5.520w 269636 calls
JK: D                               :      0.000u      0.000s      0.003w    483 calls
JK: USO2AO                          :      0.000u      0.000s      0.007w    483 calls
JK: JK                              :      0.000u      0.000s      0.149w    483 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.148w    483 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    483 calls
DFH: compute_J                      :      0.000u      0.000s      0.104w    483 calls
DFH: compute_K                      :      0.000u      0.000s      0.035w    483 calls
JK: AO2USO                          :      0.000u      0.000s      0.002w    483 calls
HF: Form F                          :      0.000u      0.000s      0.005w    483 calls
HF: Form D                          :      0.000u      0.000s      0.003w    483 calls
HF: DIIS                            :      0.000u      0.000s      3.311w    424 calls
HF: Form C                          :      0.000u      0.000s      0.253w    424 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.024w     59 calls
Grad: S                             :      0.000u      0.000s      0.006w     59 calls
Grad: JK                            :      0.000u      0.000s      3.373w     59 calls
JKGrad: Amn                         :      0.000u      0.000s      0.697w     59 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     59 calls
JKGrad: AB                          :      0.000u      0.000s      0.472w     59 calls
JKGrad: UV                          :      0.000u      0.000s      0.016w     59 calls
JKGrad: ABx                         :      0.000u      0.000s      0.131w     59 calls
JKGrad: Amnx                        :      0.000u      0.000s      0.863w     59 calls
Grad: XC                            :      0.000u      0.000s     12.009w     59 calls
V_xc gradient                       :      0.000u      0.000s      1.862w  32935 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      1.770w     59 calls
| build grid                        :      0.000u      0.000s      1.077w     59 calls
| post-process grid                 :      0.000u      0.000s      0.683w     59 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.361w     59 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.265w     59 calls
DFH: initialize()                   :      0.000u      0.000s      1.118w     59 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.192w    118 calls
| DFH: AO Construction              :      0.000u      0.000s      0.143w     59 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.020w     59 calls
HF: Form core H                     :      0.000u      0.000s      0.472w     59 calls
HF: Form S/X                        :      0.000u      0.000s      0.017w     59 calls
HF: Guess                           :      0.000u      0.000s      2.649w     59 calls
| SAD Guess                         :      0.000u      0.000s      2.515w     59 calls
HF: Form G                          :      0.000u      0.000s     61.011w    483 calls
| RV: Form V                        :      0.000u      0.000s     60.794w    483 calls
| | Properties                      :      0.000u      0.000s      5.651w 269636 calls
| | Functional                      :      0.000u      0.000s     49.143w 269636 calls
| | V_xc                            :      0.000u      0.000s      5.520w 269636 calls
| JK: D                             :      0.000u      0.000s      0.003w    483 calls
| JK: USO2AO                        :      0.000u      0.000s      0.007w    483 calls
| JK: JK                            :      0.000u      0.000s      0.149w    483 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.148w    483 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    483 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.104w    483 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.035w    483 calls
| JK: AO2USO                        :      0.000u      0.000s      0.002w    483 calls
HF: Form F                          :      0.000u      0.000s      0.005w    483 calls
HF: Form D                          :      0.000u      0.000s      0.003w    483 calls
HF: DIIS                            :      0.000u      0.000s      3.311w    424 calls
HF: Form C                          :      0.000u      0.000s      0.253w    424 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.024w     59 calls
Grad: S                             :      0.000u      0.000s      0.006w     59 calls
Grad: JK                            :      0.000u      0.000s      3.373w     59 calls
| JKGrad: Amn                       :      0.000u      0.000s      0.697w     59 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.189w     59 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     59 calls
| JKGrad: AB                        :      0.000u      0.000s      0.472w     59 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.002w     59 calls
| JKGrad: UV                        :      0.000u      0.000s      0.016w     59 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.131w     59 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.002w     59 calls
| JKGrad: Amnx                      :      0.000u      0.000s      0.863w     59 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.245w     59 calls
Grad: XC                            :      0.000u      0.000s     12.009w     59 calls
| Properties                        :      0.000u      0.000s      4.273w  32935 calls
| Functional                        :      0.000u      0.000s      5.724w  32935 calls
| V_xc gradient                     :      0.000u      0.000s      1.862w  32935 calls

**************************************************************************************

Host: WX400847

Timers On : Thu Apr 30 11:11:37 2026
Timers Off: Thu Apr 30 11:13:32 2026

Wall Time:      114.90 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      1.736w     59 calls
build grid                          :      0.000u      0.000s      1.075w     59 calls
post-process grid                   :      0.000u      0.000s      0.652w     59 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.353w     59 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.870w    413 calls
DFH: initialize()                   :      0.000u      0.000s      1.038w     59 calls
DFH: AO Construction                :      0.000u      0.000s      0.140w     59 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.018w     59 calls
HF: Form core H                     :      0.000u      0.000s      0.312w     59 calls
HF: Form S/X                        :      0.000u      0.000s      0.017w     59 calls
HF: Guess                           :      0.000u      0.000s      2.512w     59 calls
SAD Guess                           :      0.000u      0.000s      2.392w     59 calls
HF: Form G                          :      0.000u      0.000s     60.187w    483 calls
RV: Form V                          :      0.000u      0.000s     60.044w    483 calls
Properties                          :      0.000u      0.000s      9.685w 302571 calls
Functional                          :      0.000u      0.000s     54.344w 302571 calls
V_xc                                :      0.000u      0.000s      5.455w 269636 calls
JK: D                               :      0.000u      0.000s      0.003w    483 calls
JK: USO2AO                          :      0.000u      0.000s      0.007w    483 calls
JK: JK                              :      0.000u      0.000s      0.072w    483 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.071w    483 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    483 calls
DFH: compute_J                      :      0.000u      0.000s      0.032w    483 calls
DFH: compute_K                      :      0.000u      0.000s      0.032w    483 calls
JK: AO2USO                          :      0.000u      0.000s      0.002w    483 calls
HF: Form F                          :      0.000u      0.000s      0.004w    483 calls
HF: Form D                          :      0.000u      0.000s      0.003w    483 calls
HF: DIIS                            :      0.000u      0.000s      3.169w    424 calls
HF: Form C                          :      0.000u      0.000s      0.257w    424 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.023w     59 calls
Grad: S                             :      0.000u      0.000s      0.006w     59 calls
Grad: JK                            :      0.000u      0.000s      2.992w     59 calls
JKGrad: Amn                         :      0.000u      0.000s      0.706w     59 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     59 calls
JKGrad: AB                          :      0.000u      0.000s      0.430w     59 calls
JKGrad: UV                          :      0.000u      0.000s      0.016w     59 calls
JKGrad: ABx                         :      0.000u      0.000s      0.127w     59 calls
JKGrad: Amnx                        :      0.000u      0.000s      0.795w     59 calls
Grad: XC                            :      0.000u      0.000s     11.854w     59 calls
V_xc gradient                       :      0.000u      0.000s      1.798w  32935 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      1.736w     59 calls
| build grid                        :      0.000u      0.000s      1.075w     59 calls
| post-process grid                 :      0.000u      0.000s      0.652w     59 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.353w     59 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.258w     59 calls
DFH: initialize()                   :      0.000u      0.000s      1.038w     59 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.193w    118 calls
| DFH: AO Construction              :      0.000u      0.000s      0.140w     59 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.018w     59 calls
HF: Form core H                     :      0.000u      0.000s      0.312w     59 calls
HF: Form S/X                        :      0.000u      0.000s      0.017w     59 calls
HF: Guess                           :      0.000u      0.000s      2.512w     59 calls
| SAD Guess                         :      0.000u      0.000s      2.392w     59 calls
HF: Form G                          :      0.000u      0.000s     60.187w    483 calls
| RV: Form V                        :      0.000u      0.000s     60.044w    483 calls
| | Properties                      :      0.000u      0.000s      5.475w 269636 calls
| | Functional                      :      0.000u      0.000s     48.646w 269636 calls
| | V_xc                            :      0.000u      0.000s      5.455w 269636 calls
| JK: D                             :      0.000u      0.000s      0.003w    483 calls
| JK: USO2AO                        :      0.000u      0.000s      0.007w    483 calls
| JK: JK                            :      0.000u      0.000s      0.072w    483 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.071w    483 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    483 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.032w    483 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.032w    483 calls
| JK: AO2USO                        :      0.000u      0.000s      0.002w    483 calls
HF: Form F                          :      0.000u      0.000s      0.004w    483 calls
HF: Form D                          :      0.000u      0.000s      0.003w    483 calls
HF: DIIS                            :      0.000u      0.000s      3.169w    424 calls
HF: Form C                          :      0.000u      0.000s      0.257w    424 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.023w     59 calls
Grad: S                             :      0.000u      0.000s      0.006w     59 calls
Grad: JK                            :      0.000u      0.000s      2.992w     59 calls
| JKGrad: Amn                       :      0.000u      0.000s      0.706w     59 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.186w     59 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     59 calls
| JKGrad: AB                        :      0.000u      0.000s      0.430w     59 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.002w     59 calls
| JKGrad: UV                        :      0.000u      0.000s      0.016w     59 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.127w     59 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.002w     59 calls
| JKGrad: Amnx                      :      0.000u      0.000s      0.795w     59 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.228w     59 calls
Grad: XC                            :      0.000u      0.000s     11.854w     59 calls
| Properties                        :      0.000u      0.000s      4.209w  32935 calls
| Functional                        :      0.000u      0.000s      5.698w  32935 calls
| V_xc gradient                     :      0.000u      0.000s      1.798w  32935 calls

**************************************************************************************

Host: WX400847

Timers On : Thu Apr 30 11:19:34 2026
Timers Off: Thu Apr 30 11:20:58 2026

Wall Time:       84.62 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      1.338w     38 calls
build grid                          :      0.000u      0.000s      0.786w     38 calls
post-process grid                   :      0.000u      0.000s      0.546w     38 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.251w     38 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.625w    266 calls
DFH: initialize()                   :      0.000u      0.000s      0.834w     38 calls
DFH: AO Construction                :      0.000u      0.000s      0.097w     38 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.012w     38 calls
HF: Form core H                     :      0.000u      0.000s      0.490w     38 calls
HF: Form S/X                        :      0.000u      0.000s      0.012w     38 calls
HF: Guess                           :      0.000u      0.000s      1.889w     38 calls
SAD Guess                           :      0.000u      0.000s      1.800w     38 calls
HF: Form G                          :      0.000u      0.000s     45.455w    347 calls
RV: Form V                          :      0.000u      0.000s     45.353w    347 calls
Properties                          :      0.000u      0.000s      7.220w 213935 calls
Functional                          :      0.000u      0.000s     40.292w 213935 calls
V_xc                                :      0.000u      0.000s      4.302w 192821 calls
JK: D                               :      0.000u      0.000s      0.002w    347 calls
JK: USO2AO                          :      0.000u      0.000s      0.005w    347 calls
JK: JK                              :      0.000u      0.000s      0.056w    347 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.055w    347 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    347 calls
DFH: compute_J                      :      0.000u      0.000s      0.024w    347 calls
DFH: compute_K                      :      0.000u      0.000s      0.026w    347 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    347 calls
HF: Form F                          :      0.000u      0.000s      0.005w    347 calls
HF: Form D                          :      0.000u      0.000s      0.002w    347 calls
HF: DIIS                            :      0.000u      0.000s      2.483w    309 calls
HF: Form C                          :      0.000u      0.000s      0.198w    309 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.026w     38 calls
Grad: S                             :      0.000u      0.000s      0.004w     38 calls
Grad: JK                            :      0.000u      0.000s      2.320w     38 calls
JKGrad: Amn                         :      0.000u      0.000s      0.450w     38 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     38 calls
JKGrad: AB                          :      0.000u      0.000s      0.270w     38 calls
JKGrad: UV                          :      0.000u      0.000s      0.011w     38 calls
JKGrad: ABx                         :      0.000u      0.000s      0.084w     38 calls
JKGrad: Amnx                        :      0.000u      0.000s      0.564w     38 calls
Grad: XC                            :      0.000u      0.000s      8.206w     38 calls
V_xc gradient                       :      0.000u      0.000s      1.264w  21114 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      1.338w     38 calls
| build grid                        :      0.000u      0.000s      0.786w     38 calls
| post-process grid                 :      0.000u      0.000s      0.546w     38 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.251w     38 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.188w     38 calls
DFH: initialize()                   :      0.000u      0.000s      0.834w     38 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.138w     76 calls
| DFH: AO Construction              :      0.000u      0.000s      0.097w     38 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.012w     38 calls
HF: Form core H                     :      0.000u      0.000s      0.490w     38 calls
HF: Form S/X                        :      0.000u      0.000s      0.012w     38 calls
HF: Guess                           :      0.000u      0.000s      1.889w     38 calls
| SAD Guess                         :      0.000u      0.000s      1.800w     38 calls
HF: Form G                          :      0.000u      0.000s     45.455w    347 calls
| RV: Form V                        :      0.000u      0.000s     45.353w    347 calls
| | Properties                      :      0.000u      0.000s      4.331w 192821 calls
| | Functional                      :      0.000u      0.000s     36.339w 192821 calls
| | V_xc                            :      0.000u      0.000s      4.302w 192821 calls
| JK: D                             :      0.000u      0.000s      0.002w    347 calls
| JK: USO2AO                        :      0.000u      0.000s      0.005w    347 calls
| JK: JK                            :      0.000u      0.000s      0.056w    347 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.055w    347 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    347 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.024w    347 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.026w    347 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    347 calls
HF: Form F                          :      0.000u      0.000s      0.005w    347 calls
HF: Form D                          :      0.000u      0.000s      0.002w    347 calls
HF: DIIS                            :      0.000u      0.000s      2.483w    309 calls
HF: Form C                          :      0.000u      0.000s      0.198w    309 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.026w     38 calls
Grad: S                             :      0.000u      0.000s      0.004w     38 calls
Grad: JK                            :      0.000u      0.000s      2.320w     38 calls
| JKGrad: Amn                       :      0.000u      0.000s      0.450w     38 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.131w     38 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     38 calls
| JKGrad: AB                        :      0.000u      0.000s      0.270w     38 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     38 calls
| JKGrad: UV                        :      0.000u      0.000s      0.011w     38 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.084w     38 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.002w     38 calls
| JKGrad: Amnx                      :      0.000u      0.000s      0.564w     38 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.166w     38 calls
Grad: XC                            :      0.000u      0.000s      8.206w     38 calls
| Properties                        :      0.000u      0.000s      2.889w  21114 calls
| Functional                        :      0.000u      0.000s      3.953w  21114 calls
| V_xc gradient                     :      0.000u      0.000s      1.264w  21114 calls

**************************************************************************************

Host: WX400847

Timers On : Thu Apr 30 11:22:20 2026
Timers Off: Thu Apr 30 11:25:42 2026

Wall Time:      201.79 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      1.860w     56 calls
build grid                          :      0.000u      0.000s      1.133w     56 calls
post-process grid                   :      0.000u      0.000s      0.689w     56 calls
DFH: sparsity prep                  :      0.000u      0.000s      3.808w     56 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s     10.017w    392 calls
DFH: initialize()                   :      0.000u      0.000s      6.234w     56 calls
DFH: AO Construction                :      0.000u      0.000s      1.986w     56 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.289w     56 calls
HF: Form core H                     :      0.000u      0.000s      0.832w     56 calls
HF: Form S/X                        :      0.000u      0.000s      0.031w     56 calls
HF: Guess                           :      0.000u      0.000s      8.422w     56 calls
SAD Guess                           :      0.000u      0.000s      8.292w     56 calls
HF: Form G                          :      0.000u      0.000s    102.120w    704 calls
RV: Form V                          :      0.000u      0.000s    100.618w    704 calls
Properties                          :      0.000u      0.000s     24.912w 418798 calls
Functional                          :      0.000u      0.000s     76.318w 418798 calls
V_xc                                :      0.000u      0.000s     15.004w 387935 calls
JK: D                               :      0.000u      0.000s      0.006w    704 calls
JK: USO2AO                          :      0.000u      0.000s      0.010w    704 calls
JK: JK                              :      0.000u      0.000s      1.417w    704 calls
DFH: compute_JK()                   :      0.000u      0.000s      1.413w    704 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    704 calls
DFH: compute_J                      :      0.000u      0.000s      0.396w    704 calls
DFH: compute_K                      :      0.000u      0.000s      0.761w    704 calls
JK: AO2USO                          :      0.000u      0.000s      0.009w    704 calls
HF: Form F                          :      0.000u      0.000s      0.008w    704 calls
HF: Form D                          :      0.000u      0.000s      0.007w    704 calls
HF: DIIS                            :      0.000u      0.000s      5.112w    648 calls
HF: Form C                          :      0.000u      0.000s      0.509w    648 calls
